layer,minimum,maximum,smallest_nonzero,zero_percent,minimum_spacing,maximum_abs
conv1,-1.1040208339691162,1.6056585311889648,1.952052116394043e-06,0.0,1.862645149230957e-09,1.6056585311889648
relu1,0.0,1.6021283864974976,1.989305019378662e-06,15.915799999999999,1.862645149230957e-09,1.6021283864974976
pool1,0.0,1.453417181968689,1.9818544387817383e-06,8.4662,4.656612873077393e-10,1.453417181968689
conv2,-0.9452335834503174,0.8815861344337463,9.55536961555481e-07,0.0,2.3283064365386963e-10,0.9452335834503174
relu2,0.0,0.879491925239563,2.682209014892578e-07,55.01859999999999,2.3283064365386963e-10,0.879491925239563
pool2,0.0,0.7559208869934082,3.948807716369629e-07,36.922399999999996,5.820766091346741e-11,0.7559208869934082
fc1,-0.28968361020088196,0.31095197796821594,1.043081283569336e-07,0.0,8.731149137020111e-11,0.31095197796821594
relu3,0.0,0.2948959469795227,1.043081283569336e-07,52.0432,4.656612873077393e-10,0.2948959469795227
fc2,-0.1766100823879242,0.17491623759269714,3.213062882423401e-07,0.0,4.656612873077393e-10,0.1766100823879242
relu4,0.0,0.17491623759269714,5.21540641784668e-08,57.249,2.3283064365386963e-10,0.17491623759269714
fc3,-0.10523200035095215,0.10588259249925613,1.8114224076271057e-07,0.0,4.656612873077393e-10,0.10588259249925613
